Number of cycles,Semicycle,Time Stamp,1,2,3,4,5,6,7,8,9,10
1,1,1563274086213427700,1.262919872e+000,  1.236969286e+000,  1.225163679e+000,  1.229287614e+000,  1.200413921e+000,  1.026035424e+000,  9.859110578e-001,  9.420317568e-001,  9.084624248e-001,  -4.975653756e-001
1,0,1563274087270488100,  5.632828370e-001,  5.534394813e-001,  5.553500541e-001,  5.540578888e-001,  5.499153702e-001,  5.392624319e-001,  5.845571776e-001,  6.329855687e-001,  6.464490797e-001,  5.081762305e-001
2,1,1563274089316605200,1.262477907e+000,  1.236542905e+000,  1.224736649e+000,  1.229033045e+000,  1.200102445e+000,  1.026186331e+000,  9.989040682e-001,  9.681590657e-001,  9.494288998e-001,  8.747873392e-001
2,0,1563274090347664100,  5.620886057e-001,  5.520650701e-001,  5.541848748e-001,  5.530331143e-001,  5.490087567e-001,  5.420674432e-001,  5.811754834e-001,  6.292093379e-001,  6.524294400e-001,  6.800604357e-001
3,1,1563274092390781000,1.262256596e+000,  1.236328398e+000,  1.224509581e+000,  1.228883310e+000,  1.199942767e+000,  1.027998338e+000,  1.001995939e+000,  9.694951649e-001,  9.515618887e-001,  9.032222220e-001
3,0,1563274093419839900,  5.607496476e-001,  5.509357385e-001,  5.530029404e-001,  5.522207064e-001,  5.480513652e-001,  5.704380693e-001,  6.067953295e-001,  6.535580784e-001,  6.739740161e-001,  7.048047334e-001
4,1,1563274095494958500,1.261875252e+000,  1.235950724e+000,  1.224142116e+000,  1.228668025e+000,  1.199689411e+000,  1.026639192e+000,  1.001309903e+000,  9.708386515e-001,  9.525563973e-001,  9.074130965e-001
4,0,1563274096618022800,  5.611931857e-001,  5.513372740e-001,  5.533191601e-001,  5.522296854e-001,  5.481453985e-001,  5.649324155e-001,  6.019699728e-001,  6.476592071e-001,  6.688835473e-001,  6.998065128e-001
5,1,1563274098646138800,1.262424484e+000,  1.236456513e+000,  1.224608518e+000,  1.228857544e+000,  1.199983480e+000,  1.042757845e+000,  1.014477580e+000,  9.824120270e-001,  9.624276490e-001,  9.183510530e-001
5,0,1563274099673197500,  5.608054437e-001,  5.509912743e-001,  5.529421483e-001,  5.520645233e-001,  5.479526268e-001,  5.381877885e-001,  5.786540627e-001,  6.283790363e-001,  6.512854796e-001,  6.837157293e-001
6,1,1563274101720314600,1.262244089e+000,  1.236285799e+000,  1.224439767e+000,  1.228751603e+000,  1.199870078e+000,  1.035003725e+000,  1.007026382e+000,  9.734920125e-001,  9.538563542e-001,  9.083488888e-001
6,0,1563274102748373400,  5.607493910e-001,  5.509184712e-001,  5.529118724e-001,  5.519985246e-001,  5.478977499e-001,  5.378821975e-001,  5.762592928e-001,  6.250413536e-001,  6.483284491e-001,  6.820820111e-001
7,1,1563274104776489400,1.262290699e+000,  1.236319059e+000,  1.224465829e+000,  1.228738801e+000,  1.199877163e+000,  1.022336329e+000,  9.965209190e-001,  9.632813549e-001,  9.447095211e-001,  8.991686823e-001
7,0,1563274105807548400,  5.607223163e-001,  5.508554119e-001,  5.527971266e-001,  5.519255206e-001,  5.478531407e-001,  5.394048040e-001,  5.796342427e-001,  6.268352182e-001,  6.488222985e-001,  6.813974071e-001
8,1,1563274107850665300,1.261907041e+000,  1.235961702e+000,  1.224117762e+000,  1.228555085e+000,  1.199645424e+000,  1.019800939e+000,  9.941816767e-001,  9.624500517e-001,  9.444940078e-001,  8.979620953e-001
8,0,1563274108910725900,  5.607474866e-001,  5.508587290e-001,  5.528356431e-001,  5.518058368e-001,  5.477690484e-001,  5.364683961e-001,  5.768413830e-001,  6.237896872e-001,  6.473802312e-001,  6.797258280e-001
