Number of cycles,Semicycle,1,2,3,4,5,6,7,8,9,10,11
1,1,-1.766300707e-001,  -5.480870588e-002,  -1.288702640e-001,  1.332667509e-002,  -2.178571762e-002,  8.772118612e-002,  9.644549183e-003,  4.373915023e-002,  3.990175435e+001,  3.957297001e+001,  -2.746784486e-001
1,0,  -2.341405810e-001,  -7.495805618e-002,  -1.551839879e-001,  4.601174413e-003,  -1.268380864e-002,  9.502993479e-002,  2.029111881e-002,  5.101387876e-002,  3.993274331e+001,  3.958001312e+001,  -3.282670581e-001
2,1,-2.558636699e-001,  -3.336252964e-002,  -2.683438134e-002,  1.429153041e-002,  -1.924727850e-002,  -9.552119177e-002,  -1.063330499e-001,  -5.041728625e-002,  3.990657004e+001,  3.953511433e+001,  -3.565325632e-001
2,0,  -1.476138068e-001,  -5.580996956e-002,  -8.977075417e-002,  -2.473314470e-004,  -1.804728497e-002,  -9.522996891e-002,  -9.883049652e-002,  2.636564961e-002,  3.989854465e+001,  3.948956069e+001,  -3.059728004e-001
3,1,-1.910322135e-001,  -1.065857224e-002,  -1.016854386e-002,  2.601366354e-002,  -1.832813785e-002,  -1.051359172e-001,  -1.125601424e-001,  -4.560734424e-002,  3.990874920e+001,  3.953367070e+001,  -3.676668913e-001
3,0,  -1.176650633e-001,  -1.720827568e-002,  -1.502690450e-002,  1.074716894e-002,  -1.602409902e-002,  -1.439579760e-001,  -1.515274177e-001,  -7.560231897e-002,  3.990575943e+001,  3.953496868e+001,  -3.903591763e-001
4,1,-1.927451757e-001,  -2.669935349e-002,  -7.353161285e-002,  2.926379887e-002,  -1.567795134e-002,  4.162981767e-002,  -3.174514851e-002,  -1.852600830e-002,  3.981776223e+001,  3.951506900e+001,  -3.794809980e-001
4,0,  -2.234591564e-001,  -8.379354781e-002,  -1.576606629e-001,  -6.876497650e-003,  -1.262884816e-002,  1.153491877e-001,  1.542797628e-002,  2.082349302e-002,  3.980029906e+001,  3.952575306e+001,  -3.827762409e-001
5,1,-2.705598192e-001,  -3.954429916e-002,  -7.461575856e-002,  1.926176476e-002,  -1.803062952e-002,  2.559251126e-002,  -4.245555866e-002,  -3.577231491e-002,  3.974318706e+001,  3.942366394e+001,  -3.841985556e-001
5,0,  -2.368409116e-001,  -8.497321344e-002,  -1.068029413e-001,  -2.175347078e-002,  -1.765869616e-002,  -6.329134508e-002,  -5.847821166e-002,  3.399766746e-002,  3.976214997e+001,  3.943637299e+001,  -3.133813198e-001
6,1,-2.173410538e-001,  -2.581601713e-002,  -4.276083413e-002,  2.336109615e-002,  -1.825215891e-002,  -4.178993441e-002,  -8.317774196e-002,  -4.872493246e-002,  3.973385383e+001,  3.941095958e+001,  -3.811007464e-001
6,0,  -1.683200948e-001,  -4.449909629e-002,  -3.111635008e-002,  -8.369856069e-003,  -1.616185732e-002,  -1.185512468e-001,  -1.184765325e-001,  -6.146760283e-002,  3.970769679e+001,  3.939483712e+001,  -3.910430413e-001
7,1,-1.943186778e-001,  -3.817692935e-002,  -1.065022300e-001,  3.110111700e-002,  -1.356462310e-002,  3.446335711e-002,  -1.756703257e-002,  5.711277748e-002,  3.967439043e+001,  3.934661694e+001,  -3.095605731e-001
7,0,  -2.258879227e-001,  -3.296322148e-002,  -3.517639093e-002,  1.936569930e-002,  -1.245404717e-002,  -1.127875393e-001,  -9.342904370e-002,  1.295215421e-002,  3.967699807e+001,  3.933695855e+001,  -3.155299472e-001
8,1,-2.020209774e-001,  -2.975666490e-002,  -1.055853719e-001,  3.743578969e-002,  -1.291469619e-002,  6.776281558e-002,  -5.042950683e-003,  5.132284230e-002,  3.958740523e+001,  3.923898022e+001,  -3.283706515e-001
8,0,  -2.597914000e-001,  -6.610895019e-002,  -1.449542915e-001,  1.596870115e-002,  -9.260057035e-003,  1.143716800e-001,  2.628176623e-002,  4.339741065e-002,  3.958328670e+001,  3.922252939e+001,  -3.570741255e-001
9,1,-2.793537778e-001,  -3.645416739e-002,  -4.235964438e-002,  1.723984017e-002,  -1.720196201e-002,  -7.388758041e-002,  -9.070233182e-002,  -4.759203417e-002,  3.949146041e+001,  3.918142738e+001,  -3.792725594e-001
9,0,  -1.822723820e-001,  -6.179807283e-002,  -9.726280256e-002,  -5.387597060e-003,  -1.577450313e-002,  -8.458054615e-002,  -8.898857987e-002,  3.172273644e-002,  3.953966826e+001,  3.923187787e+001,  -3.038226787e-001
10,1,-2.210934140e-001,  -2.131821324e-002,  -1.049739213e-002,  2.249721192e-002,  -1.736513359e-002,  -1.447927200e-001,  -1.285072490e-001,  -3.052802137e-002,  3.945089143e+001,  3.916188854e+001,  -3.326725929e-001
10,0,  -1.017175542e-001,  -7.280960339e-003,  -1.144167896e-002,  2.769217300e-002,  -1.671120727e-002,  -1.476401284e-001,  -1.569102184e-001,  -7.041114664e-002,  3.952980721e+001,  3.920812726e+001,  -3.903343544e-001
11,1,-1.975984148e-001,  -3.160451530e-002,  -8.427621778e-002,  3.191253072e-002,  -1.384346275e-002,  -7.908413279e-003,  -3.647196782e-002,  6.193179373e-002,  3.955087605e+001,  3.920158144e+001,  -2.939731884e-001
11,0,  -1.960184601e-001,  -1.517259017e-002,  -1.271459745e-002,  2.893531746e-002,  -1.356851603e-002,  -1.365871029e-001,  -1.274132996e-001,  -3.096903729e-002,  3.948007765e+001,  3.914146757e+001,  -3.463456997e-001
12,1,-1.942259484e-001,  -2.158240085e-002,  -7.622797053e-002,  3.513070962e-002,  -1.428612766e-002,  5.112212620e-002,  -3.155806988e-002,  -1.751692124e-002,  3.946064958e+001,  3.910149970e+001,  -3.826388110e-001
12,0,  -2.337396422e-001,  -6.129843938e-002,  -4.722088443e-002,  -1.538135451e-002,  -1.391219207e-002,  -9.786289635e-002,  -9.890889615e-002,  -5.586327081e-002,  3.945733017e+001,  3.911947094e+001,  -3.813067772e-001
13,1,-2.010125745e-001,  -3.969779779e-002,  -1.166104784e-001,  3.252675717e-002,  -1.298797491e-002,  7.213459627e-002,  -4.064470495e-004,  5.264184290e-002,  3.939410346e+001,  3.914405474e+001,  -3.343814181e-001
13,0,  -2.618735191e-001,  -4.577828311e-002,  -3.983161255e-002,  8.273179778e-003,  -1.207263292e-002,  -9.592334523e-002,  -9.909498158e-002,  -4.219159561e-002,  3.940850575e+001,  3.911609223e+001,  -3.656251397e-001
14,1,-2.135055173e-001,  -3.335866394e-002,  -1.019032420e-001,  3.117307411e-002,  -1.499885357e-002,  8.676588315e-002,  -3.503903333e-003,  5.512628796e-003,  3.940884994e+001,  3.913680951e+001,  -3.673565988e-001
14,0,  -2.428542266e-001,  -6.322206776e-002,  -6.791874165e-002,  -9.965315483e-003,  -1.309913540e-002,  -4.008727898e-002,  -6.949337177e-002,  -5.253462903e-002,  3.941060263e+001,  3.910455220e+001,  -3.962361231e-001
15,1,-2.243293941e-001,  -3.433833751e-002,  -1.917058425e-002,  1.478348743e-002,  -1.844162453e-002,  -1.340332370e-001,  -1.181155862e-001,  -3.155478692e-002,  3.939931143e+001,  3.903823509e+001,  -3.439827207e-001
15,0,  -1.083415796e-001,  -2.566220741e-002,  -6.142093345e-002,  1.952460116e-002,  -1.781769703e-002,  -6.672488575e-002,  -1.170961436e-001,  -6.544413861e-002,  3.939624966e+001,  3.901975457e+001,  -4.057208495e-001
16,1,-2.222980528e-001,  -4.587934101e-002,  -1.184665014e-001,  2.569954100e-002,  -1.586978472e-002,  5.655860054e-002,  -1.207411797e-002,  5.159525812e-002,  3.940716634e+001,  3.898235670e+001,  -3.208118876e-001
16,0,  -2.533391780e-001,  -6.684803291e-002,  -1.483403723e-001,  1.752898806e-002,  -1.077463800e-002,  1.034176511e-001,  1.791683235e-002,  4.899841665e-002,  3.940950000e+001,  3.899222374e+001,  -3.468929153e-001
17,1,-2.791137787e-001,  -3.675771694e-002,  -2.796388404e-002,  1.422382671e-002,  -1.732953029e-002,  -1.295780250e-001,  -1.142477632e-001,  -2.017549437e-002,  3.929964073e+001,  3.896412390e+001,  -3.263442374e-001
17,0,  -1.348098323e-001,  -1.675542394e-002,  -7.096459762e-003,  2.649303524e-002,  -1.659932185e-002,  -2.001040918e-001,  -1.735635901e-001,  -4.030943756e-002,  3.924762605e+001,  3.894503021e+001,  -3.467116124e-001
18,1,-2.065375435e-001,  -3.698250198e-002,  -1.139051594e-001,  3.726669078e-002,  -9.677874240e-003,  6.557267918e-002,  -7.823876556e-003,  4.285183721e-002,  3.918926792e+001,  3.886465484e+001,  -3.282418180e-001
18,0,  -2.714091685e-001,  -7.095296084e-002,  -1.237387412e-001,  7.323207514e-003,  -9.826238222e-003,  1.589816296e-003,  -2.287289304e-002,  6.426639481e-002,  3.916770084e+001,  3.885528971e+001,  -2.999102331e-001
19,1,-2.545137468e-001,  -3.299866757e-002,  -6.863665861e-002,  2.534399197e-002,  -1.727600186e-002,  2.230993240e-002,  -4.369255085e-002,  -3.378454571e-002,  3.900293285e+001,  3.870605714e+001,  -3.837711182e-001
19,0,  -2.294967458e-001,  -8.939151535e-002,  -1.579829425e-001,  -1.390922131e-002,  -1.482018831e-002,  1.085495571e-001,  1.655790351e-002,  1.155192235e-002,  3.901521554e+001,  3.873850240e+001,  -3.822099092e-001
20,1,-2.675853174e-001,  -3.971826391e-002,  -7.125949674e-002,  2.002826280e-002,  -1.678269538e-002,  1.079078677e-002,  -4.606547715e-002,  -3.516040795e-002,  3.902282125e+001,  3.868722235e+001,  -3.860588408e-001
20,0,  -2.300328654e-001,  -9.059106798e-002,  -1.543453340e-001,  -1.575013957e-002,  -1.527738374e-002,  1.072433445e-001,  1.334158617e-002,  8.404690991e-003,  3.903424728e+001,  3.871029296e+001,  -3.917516630e-001
21,1,-2.720858465e-001,  -4.244017795e-002,  -5.489187925e-002,  1.635512366e-002,  -1.703183045e-002,  -9.902128804e-002,  -8.561870789e-002,  2.419156998e-002,  3.897847832e+001,  3.869790846e+001,  -3.074515359e-001
21,0,  -1.587082560e-001,  -1.526999692e-002,  -5.966909589e-002,  4.662648576e-002,  -1.609054502e-002,  -2.821440181e-002,  -8.798880252e-002,  -3.893596021e-002,  3.896471729e+001,  3.866070882e+001,  -3.891391986e-001
22,1,-2.346677641e-001,  -4.156479410e-002,  -1.128238583e-001,  2.912166542e-002,  -1.428897673e-002,  1.052083810e-001,  8.576774465e-003,  2.071470730e-002,  3.890345628e+001,  3.862820990e+001,  -3.624089208e-001
22,0,  -2.969516354e-001,  -9.782997687e-002,  -1.646141551e-001,  -5.529295760e-003,  -9.263319946e-003,  7.022427004e-002,  2.820865339e-003,  5.077006476e-002,  3.893806715e+001,  3.864699311e+001,  -3.363366619e-001
23,1,-2.877818515e-001,  -4.239672195e-002,  -7.864758135e-002,  2.044017589e-002,  -1.702724504e-002,  2.456985400e-002,  -4.078178679e-002,  -3.178580506e-002,  3.888526605e+001,  3.855192131e+001,  -3.841016069e-001
23,0,  -2.491045997e-001,  -9.611302874e-002,  -1.549477643e-001,  -1.584993721e-002,  -1.488689426e-002,  4.130483396e-002,  -6.827952004e-003,  5.344245461e-002,  3.883316905e+001,  3.852890780e+001,  -3.214524401e-001
24,1,-2.797787485e-001,  -5.286211062e-002,  -1.315066211e-001,  2.990178316e-002,  -1.172394030e-002,  9.964973355e-002,  1.623184839e-002,  4.417219563e-002,  3.873165721e+001,  3.847055907e+001,  -3.363942429e-001
24,0,  -3.193329816e-001,  -7.450164595e-002,  -8.426580778e-002,  -3.262601120e-003,  -1.184559459e-002,  3.768328501e-002,  -2.525518906e-002,  -3.032739224e-002,  3.874140418e+001,  3.851163438e+001,  -3.951742520e-001
25,1,-2.455740383e-001,  -5.178534186e-002,  -5.456312773e-002,  1.333701478e-002,  -1.735605484e-002,  -1.113307673e-001,  -9.182908419e-002,  1.715931951e-002,  3.876060297e+001,  3.852762472e+001,  -3.212266537e-001
25,0,  -1.385285813e-001,  -2.020079767e-002,  -3.218297796e-002,  3.786022654e-002,  -1.655352947e-002,  -1.828161914e-001,  -1.589947131e-001,  -9.490733198e-004,  3.876414881e+001,  3.849214932e+001,  -3.109717633e-001
26,1,-1.936752236e-001,  -1.325525546e-002,  -2.017282883e-002,  3.240705083e-002,  -1.331152036e-002,  -1.398592748e-001,  -1.200401568e-001,  1.100445243e-002,  3.866841787e+001,  3.843074580e+001,  -3.203151233e-001
